Year,JD,Discharge
2021,355,1.475
2021,356,1.52
2021,357,1.515
2021,358,1.44
2021,359,1.442
2021,360,1.501
2021,361,1.498
2021,362,1.471
2021,363,1.444
2021,364,1.461
2021,365,1.495
